# Name           zneb   
  J010619+004823 4.43745
  J012403+004432 3.84309
  J013340+040059 4.17781
  J013724-422417 3.97362
  J015741-010629 3.57193
  J020944+051713 4.2006 
  J024401-013403 4.08174
  J033413-161205 4.38997
  J033900-013318 3.20397
  J094932+033531 4.12196
  J095852+120245 3.31271
  J102009+104002 3.17035
  J111008+024458 4.15113
  J111113-080401 3.93449
  J120917+113830 3.12251
  J123055-113909 3.54422
  J124957-015928 3.67569
  J133254+005250 3.5084 
  J142438+225600 3.62721
  J162116-004251 3.70991
  J193957-100241 3.78992
  J200324-325145 3.7822 
  J205344-354652 3.49954
  J221527-161133 3.9967 
  J230301-093930 3.49416
  J231543+145606 3.39845
  J233446-090812 3.35784
  J234913-371259 4.22667
